 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

i_root_index== 1 Xsoglia_i_root== 20

83	3.3001190590761289e+00 +I* -1.3011816422155920e+00	3.3001190590761289e+00 +I* 1.3011816422155920e+00	6.6002381181522578e+00 +I* 0.0000000000000000e+00
84	3.0815736883802196e+00 +I* 2.2443630258755753e+00	3.0815736883802196e+00 +I* -2.2443630258755753e+00	6.1631473767604392e+00 +I* 0.0000000000000000e+00
85	3.2824113579697403e+00 +I* -1.4087519792780980e+00	3.2824113579697403e+00 +I* 1.4087519792780980e+00	6.5648227159394805e+00 +I* 0.0000000000000000e+00
86	3.3051903018712476e+00 +I* -1.2684027729506115e+00	3.3051903018712476e+00 +I* 1.2684027729506115e+00	6.6103806037424953e+00 +I* 0.0000000000000000e+00
87	1.9338924773363377e+00 +I* -4.0615996358891868e+00	1.9338924773363377e+00 +I* 4.0615996358891868e+00	3.8677849546726755e+00 +I* 0.0000000000000000e+00
88	1.7983919551403214e+00 +I* 4.1647362842105533e+00	1.7983919551403214e+00 +I* -4.1647362842105533e+00	3.5967839102806427e+00 +I* 0.0000000000000000e+00
89	3.3106392296220730e+00 +I* 1.2320590913484855e+00	3.3106392296220730e+00 +I* -1.2320590913484855e+00	6.6212784592441460e+00 +I* 0.0000000000000000e+00
90	3.0140238070193315e-01 +I* 4.5563172489448815e+00	3.0140238070193315e-01 +I* -4.5563172489448815e+00	6.0280476140386630e-01 +I* 0.0000000000000000e+00
91	2.3410558738758778e+00 +I* 3.6563016074795902e+00	2.3410558738758778e+00 +I* -3.6563016074795902e+00	4.6821117477517555e+00 +I* 0.0000000000000000e+00
92	5.1215809440251425e-01 +I* -4.5777799445032024e+00	5.1215809440251425e-01 +I* 4.5777799445032024e+00	1.0243161888050285e+00 +I* 0.0000000000000000e+00
93	2.6395094467840088e+00 +I* -3.2360083094590379e+00	2.6395094467840088e+00 +I* 3.2360083094590379e+00	5.2790188935680176e+00 +I* 0.0000000000000000e+00
94	2.0285535361395213e+00 +I* 3.9809947125979681e+00	2.0285535361395213e+00 +I* -3.9809947125979681e+00	4.0571070722790425e+00 +I* 0.0000000000000000e+00
95	4.5592296671733989e-01 +I* 4.5746478611114654e+00	4.5592296671733989e-01 +I* -4.5746478611114654e+00	9.1184593343467979e-01 +I* 0.0000000000000000e+00
96	1.2894748008094736e+00 +I* 4.4415313064722612e+00	1.2894748008094736e+00 +I* -4.4415313064722612e+00	2.5789496016189473e+00 +I* 0.0000000000000000e+00
97	2.1386576107862236e+00 +I* 3.8775341954352589e+00	2.1386576107862236e+00 +I* -3.8775341954352589e+00	4.2773152215724473e+00 +I* 0.0000000000000000e+00
98	8.2308959207763466e-01 +I* -4.5629092671186644e+00	8.2308959207763466e-01 +I* 4.5629092671186644e+00	1.6461791841552693e+00 +I* 0.0000000000000000e+00
99	5.4373265841640750e-01 +I* 4.5787370569926304e+00	5.4373265841640750e-01 +I* -4.5787370569926304e+00	1.0874653168328150e+00 +I* 0.0000000000000000e+00
100	2.3832863062334906e+00 +I* -3.6043749354865167e+00	2.3832863062334906e+00 +I* 3.6043749354865167e+00	4.7665726124669812e+00 +I* 0.0000000000000000e+00

END #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

