 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

i_root_index== 3 Xsoglia_i_root== 2.71442

78	8.8165110409332148e-01 +I* 3.2200342014798209e+00	8.8165110409332148e-01 +I* -3.2200342014798209e+00	1.7633022081866430e+00 +I* 0.0000000000000000e+00
79	2.5876323604993395e-01 +I* 3.6337177867787016e+00	2.5876323604993395e-01 +I* -3.6337177867787016e+00	5.1752647209986791e-01 +I* 0.0000000000000000e+00
80	5.6658403587336070e-01 +I* -2.7315175986273416e-01	5.6658403587336070e-01 +I* 2.7315175986273416e-01	1.1331680717467214e+00 +I* 0.0000000000000000e+00
81	1.0379505423626822e+00 +I* 2.5265182196965310e+00	1.0379505423626822e+00 +I* -2.5265182196965310e+00	2.0759010847253645e+00 +I* 0.0000000000000000e+00
82	3.2413199346209870e-01 +I* 3.6288203299357980e+00	3.2413199346209870e-01 +I* -3.6288203299357980e+00	6.4826398692419740e-01 +I* 0.0000000000000000e+00
83	6.6766073177050700e-01 +I* -3.4767070096058474e+00	6.6766073177050700e-01 +I* 3.4767070096058474e+00	1.3353214635410140e+00 +I* 0.0000000000000000e+00
84	6.5491166029649261e-01 +I* 8.3056190041376221e-01	6.5491166029649261e-01 +I* -8.3056190041376221e-01	1.3098233205929852e+00 +I* 0.0000000000000000e+00
85	8.2870771906901763e-01 +I* 3.3036134237958539e+00	8.2870771906901763e-01 +I* -3.3036134237958539e+00	1.6574154381380353e+00 +I* 0.0000000000000000e+00
86	6.6981119452829696e-01 +I* -3.4749620318881558e+00	6.6981119452829696e-01 +I* 3.4749620318881558e+00	1.3396223890565939e+00 +I* 0.0000000000000000e+00
87	8.6830770345450448e-01 +I* -1.6045938765455441e+00	8.6830770345450448e-01 +I* 1.6045938765455441e+00	1.7366154069090090e+00 +I* 0.0000000000000000e+00
88	8.8546289930880873e-01 +I* 1.6649516969845919e+00	8.8546289930880873e-01 +I* -1.6649516969845919e+00	1.7709257986176175e+00 +I* 0.0000000000000000e+00
89	6.7218566941125879e-01 +I* 3.4730207585856889e+00	6.7218566941125879e-01 +I* -3.4730207585856889e+00	1.3443713388225176e+00 +I* 0.0000000000000000e+00
90	1.0381168209120177e+00 +I* -2.5411347871610439e+00	1.0381168209120177e+00 +I* 2.5411347871610439e+00	2.0762336418240355e+00 +I* 0.0000000000000000e+00
91	8.0887937370100360e-01 +I* 1.4010988944399834e+00	8.0887937370100360e-01 +I* -1.4010988944399834e+00	1.6177587474020072e+00 +I* 0.0000000000000000e+00
92	1.0375185536257798e+00 +I* 2.6046478356953719e+00	1.0375185536257798e+00 +I* -2.6046478356953719e+00	2.0750371072515597e+00 +I* 0.0000000000000000e+00
93	5.1613957072163552e-01 +I* -3.5720568473181378e+00	5.1613957072163552e-01 +I* 3.5720568473181378e+00	1.0322791414432710e+00 +I* 0.0000000000000000e+00
94	9.8422176294673824e-01 +I* -2.9712973352244165e+00	9.8422176294673824e-01 +I* 2.9712973352244165e+00	1.9684435258934765e+00 +I* 0.0000000000000000e+00
95	1.0050423831509112e+00 +I* 2.1784598270550033e+00	1.0050423831509112e+00 +I* -2.1784598270550033e+00	2.0100847663018224e+00 +I* 0.0000000000000000e+00
96	3.3636014647216672e-01 +I* 3.6271020136744090e+00	3.3636014647216672e-01 +I* -3.6271020136744090e+00	6.7272029294433344e-01 +I* 0.0000000000000000e+00
97	9.7702486262965449e-01 +I* -2.9957410520340204e+00	9.7702486262965449e-01 +I* 2.9957410520340204e+00	1.9540497252593090e+00 +I* 0.0000000000000000e+00
98	9.8026510834582747e-01 +I* -2.0451765384018628e+00	9.8026510834582747e-01 +I* 2.0451765384018628e+00	1.9605302166916549e+00 +I* 0.0000000000000000e+00
99	9.9962532678746285e-01 +I* 2.1465270049322087e+00	9.9962532678746285e-01 +I* -2.1465270049322087e+00	1.9992506535749257e+00 +I* 0.0000000000000000e+00
100	4.7688539158107673e-01 +I* -3.5889960517537727e+00	4.7688539158107673e-01 +I* 3.5889960517537727e+00	9.5377078316215347e-01 +I* 0.0000000000000000e+00

END #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

